sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
poultry,eu_broilers,European Union,296,€/100kg,weekly (monthly average),NA,1.70%,NA,0.34%,NA,May-26
poultry,poultry_meat_weekly_average,United Kingdom,37,Thousand Tonnes,monthly,NA,4.00%,NA,-0.73%,1.30%,Apr-26
poultry,turkey_slaughter_weekly_average,United Kingdom,0.14,Birds (m),monthly,NA,12%,NA,31%,1.90%,Apr-26
poultry,turkeys_chicks_placed_weekly_average,United Kingdom,0.16,Chicks (m),monthly,NA,8.60%,NA,25%,-7.70%,Apr-26
poultry,turkeys_eggs_set_weekly_average,United Kingdom,0.21,Eggs (m),monthly,NA,18%,NA,-1.10%,-17%,Apr-26
sheep,monthly_lamb_hogget_ni,Northern Ireland,721,p/kg,monthly,NA,17%,NA,12%,23%,Mar-26
sheep,monthly_sqq_clean_lambs_gb,Great Britain,848,p/kg,monthly,NA,3.90%,NA,21%,23%,Apr-26
sheep,weekly_average_clean_sheep_slaughter,United Kingdom,199,Head (th),monthly (weekly average),NA,-19%,NA,-12%,-8.00%,Apr-26
sheep,weekly_average_mutton_lamb_production,United Kingdom,4.9,Tonnes (th),monthly (weekly average),NA,-16%,NA,-9.80%,-5.70%,Apr-26
sheep,weekly_lamb_hogget_ni,Northern Ireland,885,p/kg,weekly,7.60%,NA,NA,NA,NA,23/05/2026
sheep,weekly_sqq_clean_lambs_gb,Great Britain,944,p/kg,weekly,8.40%,NA,NA,NA,NA,23/05/2026
