sector,item,geography,value,units,data_frequency,wchange,mchange,qchange,yrchange,fiveyrchange,data_date
eggs,enriched_prod,United Kingdom,47,m doz,quarterly,NA,NA,-2.10%,-14%,NA,Q3 2025
eggs,free_range_price,United Kingdom,159,p/dozen,quarterly,NA,NA,-0.81%,-0.20%,NA,Q3 2025
eggs,free_range_prod,United Kingdom,189,m doz,quarterly,NA,NA,2.30%,8.20%,NA,Q3 2025
eggs,organic_prod,United Kingdom,10,m doz,quarterly,NA,NA,3.50%,12%,NA,Q3 2025
eggs,total_price,United Kingdom,148,p/dozen,quarterly,NA,NA,-0.44%,1.80%,NA,Q3 2025
eggs,total_prod,United Kingdom,268,m doz,quarterly,NA,NA,2.00%,5.10%,NA,Q3 2025
eggs,weekly_average_commercial_layers_chicks_placed,United Kingdom,0.83,Chicks (m),monthly,NA,18%,NA,3.30%,6.90%,Oct-25
eggs,weekly_average_commercial_layers_eggs_set,United Kingdom,2.1,Eggs (m),monthly,NA,-9.80%,NA,9.60%,6.00%,Oct-25
hort_winter,apple,England,1.2,£/kg,monthly,NA,-4.60%,NA,-2.10%,NA,Nov-25
hort_winter,brussels_sprouts,England,1,£/kg,monthly,NA,0.05%,NA,7.70%,NA,Nov-25
hort_winter,cabbage_white,England,0.55,£/kg,monthly,NA,4.10%,NA,4.40%,NA,Nov-25
hort_winter,carrot,England,0.53,£/kg,monthly,NA,2.80%,NA,11%,NA,Nov-25
hort_winter,cauliflower,England,0.85,£/head,monthly,NA,-14%,NA,19%,NA,Nov-25
hort_winter,onion,England,0.61,£/kg,monthly,NA,-4.10%,NA,6.20%,NA,Nov-25
hort_winter,swede,England,0.25,£/kg,monthly,NA,-3.30%,NA,-22%,NA,Nov-25
pigs,monthly_spp_deadweight_gb,Great Britain,204,p/kg,monthly,NA,-1.30%,NA,-1.60%,9.40%,Oct-25
pigs,weekly_average_clean_pig_slaughter,United Kingdom,214,Head (th),monthly (weekly average),NA,5.20%,NA,2.00%,0.34%,Oct-25
pigs,weekly_average_pigmeat_production,United Kingdom,20,Tonnes (th),monthly (weekly average),NA,7.00%,NA,3.80%,2.40%,Oct-25
pigs,weekly_spp_deadweight_gb,Great Britain,201,p/kg,weekly,0.19%,NA,NA,NA,NA,22/11/2025
poultry,boiling_fowl_slaughter_weekly_average,United Kingdom,0.6,Birds (m),monthly,NA,-13%,NA,19%,-25%,Oct-25
poultry,broiler_breeders_eggs_set_weekly_average,United Kingdom,1.4,Eggs (m),monthly,NA,-15%,NA,4.10%,3.00%,Oct-25
poultry,broiler_slaughter_weekly_average,United Kingdom,22,Birds (m),monthly,NA,-0.40%,NA,-0.69%,5.80%,Oct-25
poultry,commercial_broilers_chicks_placed_weekly_average,United Kingdom,22,Chicks (m),monthly,NA,0.37%,NA,0.26%,0.60%,Oct-25
poultry,commercial_broilers_eggs_set_weekly_average,United Kingdom,25,Eggs (m),monthly,NA,-3.20%,NA,3.20%,3.80%,Oct-25
poultry,eu_broilers,European Union,286,€/100kg,weekly (monthly average),NA,-6.50%,NA,3.30%,NA,Nov-25
poultry,female_broiler_breeders_chicks_placed_weekly_average,United Kingdom,0.02,Chicks (m),monthly,NA,-32%,NA,-82%,-81%,Oct-25
poultry,poultry_meat_weekly_average,United Kingdom,38,Tonnes (th),monthly,NA,-0.41%,NA,2.20%,2.20%,Oct-25
poultry,turkey_slaughter_weekly_average,United Kingdom,0.11,Birds (m),monthly,NA,-12%,NA,-21%,-36%,Oct-25
poultry,turkeys_chicks_placed_weekly_average,United Kingdom,0.16,Chicks (m),monthly,NA,-32%,NA,0.62%,-19%,Oct-25
poultry,turkeys_eggs_set_weekly_average,United Kingdom,0.18,Eggs (m),monthly,NA,-22%,NA,-4.10%,-24%,Oct-25
sheep,monthly_lamb_hogget_ni,Northern Ireland,612,p/kg,monthly,NA,-1.50%,NA,5.20%,26%,Oct-25
sheep,monthly_sqq_clean_lambs_gb,Great Britain,666,p/kg,monthly,NA,-0.76%,NA,7.70%,25%,Oct-25
sheep,weekly_average_clean_sheep_slaughter,United Kingdom,219,Head (th),monthly (weekly average),NA,2.60%,NA,-9.90%,-15%,Oct-25
sheep,weekly_average_mutton_lamb_production,United Kingdom,5.1,Tonnes (th),monthly (weekly average),NA,2.20%,NA,-8.30%,-13%,Oct-25
sheep,weekly_lamb_hogget_ni,Northern Ireland,620,p/kg,weekly,-0.11%,NA,NA,NA,NA,22/11/2025
sheep,weekly_sqq_clean_lambs_gb,Great Britain,695,p/kg,weekly,0.43%,NA,NA,NA,NA,22/11/2025
