"sector","item","geography","value","units","data_frequency","wchange","mchange","qchange","yrchange","fiveyrchange","data_date"
"pigs","weekly_average_clean_pig_slaughter","United Kingdom","211","Head (th)","monthly (weekly average)",NA,"7.2%",NA,"2.3%","0.61%","Feb 2026"
"pigs","weekly_average_pigmeat_production","United Kingdom","21","Tonnes (th)","monthly (weekly average)",NA,"6.7%",NA,"5.2%","4.0%","Feb 2026"
"pigs","weekly_spp_deadweight_gb","Great Britain","182","p/kg","weekly","-0.22%",NA,NA,NA,NA,"2026-03-28"
"poultry","boiling_fowl_slaughter_weekly_average","United Kingdom","0.54","Birds (m)","monthly",NA,"-7.0%",NA,"-0.73%","-25%","February 2026"
"poultry","broiler_breeders_eggs_set_weekly_average","United Kingdom","1.5","Eggs (m)","monthly",NA,"17%",NA,"1.8%","12%","February 2026"
"poultry","broiler_slaughter_weekly_average","United Kingdom","22","Birds (m)","monthly",NA,"0.83%",NA,"0.30%","1.5%","February 2026"
"poultry","commercial_broilers_chicks_placed_weekly_average","United Kingdom","23","Chicks (m)","monthly",NA,"0.31%",NA,"2.9%","3.2%","February 2026"
"poultry","commercial_broilers_eggs_set_weekly_average","United Kingdom","27","Eggs (m)","monthly",NA,"2.3%",NA,"3.1%","3.0%","February 2026"
"poultry","eu_broilers","European Union","294","€/100kg","weekly (monthly average)",NA,"0.66%",NA,"3.5%",NA,"March 2026"
"poultry","female_broiler_breeders_chicks_placed_weekly_average","United Kingdom","0.07","Chicks (m)","monthly",NA,"22%",NA,"-47%","-41%","October 2025"
"poultry","poultry_meat_weekly_average","United Kingdom","34","Thousand Tonnes","monthly",NA,"-9.8%",NA,"-4.8%","-4.5%","February 2026"
"poultry","turkey_slaughter_weekly_average","United Kingdom","0.12","Birds (m)","monthly",NA,"13%",NA,"18%","-13%","February 2026"
"poultry","turkeys_chicks_placed_weekly_average","United Kingdom","0.14","Chicks (m)","monthly",NA,"3.1%",NA,"34%","-13%","February 2026"
"poultry","turkeys_eggs_set_weekly_average","United Kingdom","0.16","Eggs (m)","monthly",NA,"-6.9%",NA,"0.08%","-26%","February 2026"
"sheep","monthly_lamb_hogget_ni","Northern Ireland","589","p/kg","monthly",NA,"-4.8%",NA,"-9.6%","11%","December 2025"
"sheep","monthly_sqq_clean_lambs_gb","Great Britain","816","p/kg","monthly",NA,"13%",NA,"11%","25%","March 2026"
"sheep","weekly_average_clean_sheep_slaughter","United Kingdom","237","Head (th)","monthly (weekly average)",NA,"20%",NA,"8.2%","8.8%","Feb 2026"
"sheep","weekly_average_mutton_lamb_production","United Kingdom","5.7","Tonnes (th)","monthly (weekly average)",NA,"18%",NA,"9.8%","7.8%","Feb 2026"
"sheep","weekly_lamb_hogget_ni","Northern Ireland","748","p/kg","weekly","4.0%",NA,NA,NA,NA,"2026-03-21"
"sheep","weekly_sqq_clean_lambs_gb","Great Britain","867","p/kg","weekly","3.6%",NA,NA,NA,NA,"2026-03-28"
