Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1910
Last updated 01-Jul-2026 11:33
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1949   44.5   92.7  112.8  151.1  206.7  243.1  193.5  168.5  136.0   85.4   54.4   39.0   184.0   470.6   605.1   275.8  1527.8
1950   35.9   67.4  112.4  143.1  175.4  212.3  171.2  156.6  101.9   89.7   55.9   36.5   142.3   430.9   540.0   247.5  1358.2
1951   41.7   61.0   85.9  172.1  178.4  213.1  171.7  136.9  107.8   98.1   48.8   44.3   139.2   436.3   521.7   254.7  1359.8
1952   61.3   73.6   93.3  155.9  185.7  170.4  167.3  147.2  111.6   97.7   62.4   44.0   179.2   434.8   484.9   271.6  1370.3
1953   37.1   61.8  130.9  162.5  195.1  149.4  156.3  170.4  124.0   82.4   44.0   32.8   143.0   488.4   476.1   250.4  1346.7
1954   46.8   56.7  101.1  179.7  150.0  138.4  120.0  114.4  139.0   74.7   50.8   36.2   136.3   430.8   372.7   264.5  1207.8
1955   36.6   78.8  138.5  165.1  201.8  158.0  256.9  181.1  140.1  101.4   52.1   38.1   151.6   505.3   596.0   293.7  1548.5
1956   48.2   67.0  129.5  163.0  210.7  160.8  153.9  136.6   91.3   99.6   49.9   19.6   153.3   503.1   451.3   240.8  1330.1
1957   44.8   77.9   80.8  159.9  196.9  265.1  123.5  130.3  106.5   73.6   52.4   46.2   142.3   437.6   518.9   232.6  1358.0
1958   45.9   51.6  103.7  140.0  177.7  132.1  163.7  118.3  118.2   86.3   44.7   30.5   143.7   421.4   414.0   249.2  1212.7
1959   69.7   61.9   95.0  136.8  214.5  210.6  195.6  177.8  172.2  119.6   49.5   28.1   162.1   446.4   584.0   341.3  1531.3
1960   36.9   81.7   74.3  148.0  182.4  235.8  141.3  147.1  123.4   60.8   58.2   47.0   146.6   404.7   524.2   242.4  1336.9
1961   40.8   60.6  118.9  101.4  195.3  186.1  139.9  155.4  117.0   98.7   60.1   49.0   148.4   415.6   481.5   275.8  1323.3
1962   52.8   68.6  112.3  168.4  164.5  208.3  132.4  145.3   97.6   94.0   39.4   53.1   170.3   445.2   486.1   230.9  1336.6
1963   59.4   80.6  101.3  122.0  182.1  180.2  170.2  111.9  127.8   75.8   48.3   41.4   193.1   405.4   462.3   251.9  1301.0
1964   39.8   60.8   64.9  116.4  175.1  147.0  160.7  164.5  151.2   94.4   54.1   41.0   142.1   356.4   472.2   299.7  1269.8
1965   59.7   41.4  118.6  148.1  148.0  158.6  120.7  157.3   91.9   98.4   68.8   45.9   142.1   414.6   436.6   259.1  1257.3
1966   29.7   39.0  108.1  102.6  204.0  141.1  161.4  157.8  119.2   79.4   51.8   35.3   114.5   414.8   460.3   250.3  1229.4
1967   50.2   71.4  131.7  127.4  151.7  207.3  166.0  143.3  107.3   88.6   59.6   49.1   156.8   410.7   516.6   255.5  1353.5
1968   34.3   74.2  105.4  167.5  148.7  189.1  136.2  151.4  106.9   56.8   44.2   31.3   157.6   421.7   476.7   207.9  1246.2
1969   31.2   64.4   80.7  176.9  133.9  230.7  187.4  145.3   98.8   88.6   64.1   29.6   126.9   391.5   563.4   251.5  1331.4
1970   29.5   94.3  111.8  133.3  165.5  231.5  136.8  155.1  115.9   84.4   51.8   42.7   153.4   410.6   523.3   252.1  1352.6
1971   33.0   60.7   87.4  122.2  210.7  141.9  211.6  128.4  151.5  113.9   67.6   27.9   136.4   420.3   481.9   333.0  1356.9
1972   36.9   44.1  121.6  134.8  144.5  148.3  169.0  162.2  120.9   91.3   61.5   36.5   108.9   400.9   479.4   273.7  1271.6
1973   31.8   74.4  125.7  147.1  157.5  192.4  146.6  164.4  127.4   88.4   69.3   42.7   142.7   430.3   503.3   285.1  1367.5
1974   41.4   55.5  100.0  167.2  180.9  189.9  150.3  164.0  122.3   78.8   51.4   37.7   139.5   448.2   504.3   252.5  1339.5
1975   35.3   70.8   97.2  123.4  207.2  246.7  180.0  196.5  125.9   95.6   64.7   36.4   143.8   427.9   623.1   286.2  1479.7
1976   42.3   48.6   99.6  144.0  151.3  207.4  223.8  240.9   95.0   65.1   62.0   47.2   127.2   394.9   672.2   222.0  1427.1
1977   45.7   62.1   81.1  150.4  217.8  166.1  185.2  157.7  103.7   89.1   70.8   35.3   154.9   449.3   509.0   263.6  1365.0
1978   47.0   57.4  104.2  112.2  194.0  159.9  135.3  122.7  120.3   80.5   59.6   29.5   139.7   410.4   417.9   260.4  1222.6
1979   51.7   65.6   89.9  120.3  169.6  162.9  150.4  144.3  142.4   88.9   56.8   43.5   146.8   379.9   457.6   288.1  1286.4
1980   49.9   43.5   81.3  162.7  223.4  141.4  130.2  125.9  112.1   93.4   52.0   40.1   136.8   467.5   397.4   257.6  1255.9
1981   41.3   66.7   73.2  149.1  144.7  143.5  136.5  167.4  131.6  101.3   46.4   38.1   148.1   366.9   447.5   279.4  1239.8
1982   45.4   53.9  132.5  160.5  206.6  149.3  171.6  144.6  121.9   64.2   50.3   36.4   137.3   499.6   465.5   236.4  1337.2
1983   39.7   70.0   72.1  134.3  115.9  159.0  210.7  190.2   96.0   91.9   42.1   40.0   146.2   322.3   559.9   229.9  1261.8
1984   53.4   53.5   60.9  202.0  181.7  181.2  212.9  180.1   97.8   86.9   43.7   43.9   146.8   444.6   574.3   228.3  1398.0
1985   47.2   76.6  103.2  121.7  160.2  162.8  156.1  139.0  109.4   94.4   66.5   31.8   167.7   385.1   457.9   270.4  1269.0
1986   46.7   74.3  113.0  126.5  170.2  193.7  145.3  129.0  150.1  101.0   63.4   41.3   152.8   409.6   468.0   314.4  1354.3
1987   45.8   62.2   97.9  138.6  181.7  115.9  145.6  140.8  142.5   94.5   46.8   29.8   149.3   418.2   402.3   283.9  1242.2
1988   46.9   87.7   89.2  128.7  190.8  170.9  130.2  151.3  125.1   87.3   75.9   33.4   164.5   408.7   452.4   288.3  1317.5
1989   52.3   82.4  100.9  131.2  243.1  211.3  244.6  189.9  117.2   79.1   75.3   28.7   168.1   475.2   645.8   271.6  1555.9
1990   46.4   66.9  113.5  186.9  225.0  121.1  239.4  174.4  127.7   84.5   57.9   37.9   142.0   525.3   534.9   270.0  1481.4
1991   59.3   59.1   80.6  147.2  146.2  132.9  167.0  183.5  160.7   74.4   48.0   35.1   156.3   374.0   483.4   283.1  1293.9
1992   46.8   59.4   70.2  110.8  234.9  193.5  142.5  150.8  102.9   84.1   50.9   36.2   141.2   415.9   486.8   238.0  1283.0
1993   32.8   42.2  105.6  112.0  161.1  160.8  145.0  160.6  103.0   96.4   54.9   36.7   111.2   378.7   466.4   254.3  1211.0
1994   51.6   59.1  104.2  153.3  168.2  181.4  191.5  153.3  109.0  100.6   41.6   45.0   147.3   425.7   526.2   251.2  1358.8
1995   43.9   66.7  132.6  156.5  191.4  206.0  207.4  251.2  120.3  104.4   58.3   40.8   155.6   480.5   664.6   283.0  1579.5
1996   21.4   82.7   63.0  120.5  177.4  220.1  191.6  163.5  138.7   91.6   75.6   43.6   144.8   361.0   575.2   305.9  1389.7
1997   41.8   63.0  113.9  140.7  211.9  137.8  194.4  179.6  146.7  114.1   41.0   35.4   148.4   466.5   511.7   301.8  1420.1
1998   44.8   70.0   71.2  126.9  187.1  140.0  133.6  172.7  114.6   97.3   65.8   34.4   150.1   385.2   446.2   277.8  1258.4
1999   50.1   75.4  105.8  147.1  158.4  167.3  207.0  149.6  134.7  102.3   61.4   48.3   159.9   411.3   523.9   298.4  1407.4
2000   57.9   81.3  104.0  134.5  209.4  155.6  153.8  171.5  108.7   87.0   54.5   40.2   187.5   447.9   480.9   250.2  1358.4
2001   66.5   83.0   99.9  134.4  219.9  168.1  160.1  159.5  107.8   88.5   55.4   64.0   189.7   454.2   487.7   251.7  1407.2
2002   36.9   67.8  109.5  171.0  171.9  149.4  139.9  147.7  138.0   86.0   49.0   31.1   168.7   452.5   437.0   273.1  1298.4
2003   60.0   93.4  157.8  181.8  170.7  191.1  159.0  197.8  146.2  120.0   64.1   45.3   184.5   510.3   547.9   330.3  1587.1
2004   42.0   86.9  109.4  124.2  196.5  168.9  152.5  162.4  140.9   82.6   45.1   45.5   174.2   430.0   483.8   268.5  1356.8
2005   47.3   68.8   81.6  146.5  202.4  166.2  161.9  182.1  130.7   71.4   77.4   46.0   161.6   430.4   510.2   279.5  1382.2
2006   45.4   67.1   88.0  162.0  176.0  206.7  249.8  135.5  137.9   84.8   77.1   42.1   158.5   426.1   591.9   299.8  1472.4
2007   50.8   67.2  141.8  203.2  174.1  140.6  160.0  169.5  128.2   99.6   56.7   44.1   160.2   519.1   470.1   284.5  1435.8
2008   38.1  101.3  114.7  153.9  200.4  178.7  166.2  104.1  102.2  109.1   53.1   53.6   183.5   469.0   449.1   264.4  1375.4
2009   51.3   51.3  137.0  159.3  210.1  202.8  169.1  154.3  128.2   83.3   59.4   50.0   156.2   506.4   526.3   270.9  1456.2
2010   53.0   61.6  115.7  181.3  199.1  208.4  138.7  146.6  125.3  104.7   64.0   46.3   164.6   496.1   493.7   294.0  1444.7
2011   49.5   51.2  120.9  202.2  190.5  174.4  169.4  126.5  126.5   90.0   58.6   38.2   147.0   513.6   470.3   275.1  1397.9
2012   57.9   62.4  149.5  126.2  198.2  114.0  136.3  150.5  138.3   90.1   61.5   45.7   158.5   473.9   400.9   289.9  1330.7
2013   36.1   74.8   80.7  166.3  176.2  169.4  247.4  157.6  113.6   77.1   70.0   41.6   156.7   423.2   574.4   260.7  1410.9
2014   42.7   74.8  126.0  144.1  148.8  176.6  221.9  169.5  122.1   82.0   51.1   56.7   159.2   419.0   568.0   255.2  1416.5
2015   58.4   75.6  121.3  211.8  173.8  188.7  160.8  148.1  151.9   90.4   35.5   29.1   190.7   507.0   497.6   277.7  1445.3
2016   37.3   84.5  116.5  160.4  208.1  134.7  156.6  180.8  119.4  104.5   74.3   40.4   150.8   485.1   472.1   298.1  1417.4
2017   54.7   54.7  119.0  158.3  207.6  155.5  168.2  155.1  108.4   72.4   71.0   44.9   149.8   484.8   478.8   251.8  1369.8
2018   49.4   98.1   83.6  131.4  240.6  234.4  234.0  147.1  132.4  111.4   61.8   36.4   192.5   455.6   615.5   305.7  1560.7
2019   50.8   99.1  115.2  168.7  186.9  159.7  173.3  175.1  142.9   88.4   48.1   46.0   186.3   470.9   508.1   279.5  1454.4
2020   45.1   73.4  136.0  223.0  266.9  161.2  144.5  145.4  145.1   66.9   53.3   37.5   164.6   625.9   451.0   265.4  1498.3
2021   44.2   71.4  102.2  223.8  161.4  181.0  190.4  127.1  118.8   80.2   58.6   26.9   153.2   487.5   498.5   257.6  1386.2
2022   63.1   74.1  165.5  167.4  154.2  196.8  178.4  208.5  118.8  104.9   55.4   48.3   164.1   487.0   583.7   279.1  1535.3
2023   62.3   70.4   82.4  157.4  205.9  242.9  141.5  151.1  139.9   84.3   64.7   27.2   181.0   445.7   535.5   288.9  1430.1
2024   59.7   57.2   96.9  124.9  160.1  178.4  155.0  161.6  122.8   89.3   51.1   24.1   144.2   381.9   495.0   263.2  1281.1
2025   61.5   67.2  157.1  227.7  266.2  192.9  182.3  179.8  140.0   63.0   60.6   46.5   152.8   650.9   555.0   263.7  1644.8
2026   47.7   41.6  132.3  215.2  200.9  178.4                                             135.8   548.4                        
